id,customer_id,device_id,first_seen,last_seen
cc15cad7-fa83-41f6-b16f-cf01a162ec3c,0613c87f-6ebc-4983-95e6-7ecb4d307fc6,17f4dcc5-9e21-45c9-b52c-041156df5dee,2026-05-21 05:51:41.729866+00:00,2026-05-21 05:51:41.729866+00:00
e0fc17a6-00da-4e5c-932e-ab14bb331b60,4701127c-dcf8-4cad-9625-207e89c6a89d,5ca5f8ed-cae7-4766-8385-203a7674bbf1,2026-03-15 00:14:17.014889+00:00,2026-03-15 00:14:17.014889+00:00
75e08a92-2142-4677-9cd4-f58ea2b1d52d,104c1798-ecb8-4895-8aaf-d2ff7ddd423d,860cb6fd-42d1-41e0-af3f-6db463739f0e,2026-04-10 11:03:21.540949+00:00,2026-04-10 11:03:21.540949+00:00
003eb78d-aad3-41ab-9f67-2ffe1a0e87cb,6caf708b-766d-453c-9e34-3d495d053204,612b13c4-a660-49f6-8394-8a68b57bf2b7,2026-05-02 21:23:52.708553+00:00,2026-05-02 21:23:52.708553+00:00
2a284c47-90b6-4cf1-9f30-4774f9434177,89cf622b-d36d-4a5c-a3a0-6d4a6e26d59a,86a69490-8cee-4d29-90a2-849bfcaa0080,2026-03-30 20:10:33.315338+00:00,2026-03-30 20:10:33.315338+00:00
183fe87f-ae19-4b64-b9ef-02efcc0f3141,c8a8f3a1-40c5-423c-9c6b-b8d540a772b2,a2436505-01c9-4926-b9b3-51538929f538,2026-05-09 09:33:09.563202+00:00,2026-05-09 09:33:09.563202+00:00
6de95cfa-25d8-46df-a44f-4dec057df2f0,b233fc1b-6ad0-40a3-97ef-8f45017f29a3,958064f3-890b-4950-8bd9-628138947665,2026-04-23 21:06:46.977838+00:00,2026-04-23 21:06:46.977838+00:00
30cbba9e-eaab-48da-b71c-c20e1d8d7063,03cef383-f4ef-4d66-bad8-0ce65702edd2,120d3069-2e43-42e9-a6c7-61fcb22dce11,2026-04-11 17:54:43.134298+00:00,2026-04-11 17:54:43.134298+00:00
2797c9d8-e025-4a32-9845-f22fc246b25f,77bc989c-f5d9-498b-9b51-fc39a2cfbba0,fea9a2f5-3f45-410c-b620-273c86d13329,2026-05-16 23:00:08.448595+00:00,2026-05-16 23:00:08.448595+00:00
e469a9c7-9d38-47ec-b7e0-423d1d517ee7,5d4f79b9-7f1a-4701-b396-d2c0e5c833ea,e42208f4-5c6b-49b2-a73a-f8e8042f12e4,2026-05-19 19:23:32.463137+00:00,2026-05-19 19:23:32.463137+00:00
