id,device_fingerprint,created_at
df3c0b01-5e81-436c-87a0-154f2e30418c,3a139257f3e6675d3b7c0446a50d1de4,2026-05-27 23:28:46.168024+00:00
6a2864c3-6e92-4d20-bdb5-a7dcb7bff369,7ea1fcaa88ab82dc441f0f35b38ca0a9,2026-03-03 08:33:23.564315+00:00
5073cd91-736a-4ebb-999a-225eb6beaf33,e06d15b8209d89880cd436d12d68050e,2026-05-09 17:43:34.516746+00:00
7da67fa5-3f0a-4798-b78f-a27a8460de5b,97a15a3f2e75c283d9eb7b386c5bb97e,2026-03-16 04:03:29.296101+00:00
3b42f0d7-1270-40d9-bf57-83fa5f21b925,a4688eb74b104b55b44ad56c3510975a,2026-03-29 22:22:34.361954+00:00
144eb23a-924b-4534-a16a-c3a7a554908e,df4fe7eba189009ad73868eec01c40d6,2026-04-19 10:49:57.122772+00:00
0c87c254-1a8d-42a4-bbcf-2c53cf70189c,c1a7632c17faf8fb88384a850b67d803,2026-03-28 19:36:09.452378+00:00
09604c36-6d7c-4600-9a36-2808aa7eeb58,e70ab71e8943f347da70101cc4a9db5c,2026-04-21 10:01:11.650699+00:00
91775226-7d92-4038-826e-aabb7151ac07,634fc0f8d04a5d3af5b009418af3adb0,2026-03-04 13:08:15.372506+00:00
4cfa30b5-cee4-4157-8f8e-7d6edfa26ca9,ec92627ba236f15bb4affd3f949daefb,2026-05-07 02:26:24.411551+00:00
9511f736-a327-4f4c-b186-5eaaf7742882,c44a9f67e26c10d19d50b1ef927e566c,2026-03-10 07:10:52.651908+00:00
80b120ad-5181-47cf-84d4-7beb7ffb4b4f,80b847857937c7ca9b2aaae4a2ac9ad6,2026-05-10 18:06:31.637165+00:00
beb3fb3d-6e7b-40c8-8b4a-6b1584eea2d7,bdc8510c9b4d1146953554c69b3c8637,2026-04-14 03:19:36.328907+00:00
3c65ef38-5f39-4f2c-95e7-b8380db9b0a1,bee540e6d1ba0837f2009b86860cbef9,2026-04-24 14:06:19.800784+00:00
d1bb6b90-4b89-4864-aa7e-2b6a52b35c62,50fda5353cb29ff43b9c02f3ff298f97,2026-03-15 12:26:42.833913+00:00
7e79fa65-44da-4dc3-832e-0ef4db00da20,837f54096dc8986510d636c1c013b597,2026-03-23 00:15:04.396264+00:00
d627a99e-34c4-47e0-83e8-d7d97065f251,beb96c0e6e74341418dca2f29f184c53,2026-03-08 03:03:26.697022+00:00
878c2f19-d5f3-492e-b009-c324f0ba75fc,b3647ee9f23acc878ff43fb6e57e0c42,2026-03-17 17:49:19.586656+00:00
4bf31b34-02ee-48e8-8cf9-2faa43edb3a6,ce717871520b9934d8192ebc2cadd49c,2026-05-30 13:56:30.326112+00:00
90e0ccf1-4923-44df-aed9-78bc5a29dc8d,035da75c04ea332d59d7b296276e7011,2026-04-15 15:19:35.186392+00:00
db45b233-b51b-4a98-8f8a-189a93a472f0,8b72769255afaccf9c7e17b07cc54d5b,2026-05-23 11:50:16.502503+00:00
dae48abb-fbc2-4e51-a9ab-2fc13dcc1b8e,fc6055d7df53658422b8fbae47355a6f,2026-05-01 12:10:25.588390+00:00
5784a2d7-6e81-443a-bd87-a01ae4e05e2a,9bbd0bc70c5dceffb32c30f37641670f,2026-03-26 01:30:38.269479+00:00
e253bf07-7c18-4de4-bc52-75dd3ed138e6,cf3793e3c3c3b90e4800f3593a11d442,2026-04-18 19:16:28.352748+00:00
09049305-296e-468c-b170-7d3d20d4d5f4,7fac77b16fa716297eb0013095745fcd,2026-04-07 05:18:14.140589+00:00
538ab054-8299-4879-9a18-951bc07764b7,cde6c4645b6172c6f220cf8c697e350f,2026-05-06 02:51:07.322279+00:00
a2f8b2c9-0151-4c89-9727-9609a1ad8319,73764be861fa43b05ae02d7419bc96cc,2026-05-24 09:27:36.491776+00:00
f94f1ba2-77b9-4926-85f8-8b87c6347b2c,98b6acf880cdf86f93ae307d9229cf83,2026-04-22 12:49:10.616176+00:00
75bbc92b-0829-4194-91f3-7296ee7c7ba8,dac24ff57accbd55ff44d774dc5db76e,2026-03-08 14:40:34.860691+00:00
63cd205b-9b60-4edf-b6c4-dd5273970df0,08001b3fed119d37bbdeacde9cef2a57,2026-05-30 15:20:59.801019+00:00
da60c9e9-635f-4418-9306-9d8e8366edad,c93f4325a85da68aad92fd2a688e533d,2026-03-27 04:10:49.683240+00:00
9c0674c9-7b87-4132-a1b4-9e5378187b5a,62c765e834521eef300e24bf9f64e241,2026-05-17 19:21:04.507208+00:00
4335fea4-fe0e-4eda-ab4c-df2b445b7ce3,7713cf6c1f19f9d60d7c3440c1d77865,2026-05-31 02:01:54.869145+00:00
edfac7c9-01a1-41b7-8193-a712d320ee92,619e2d4e6255327a44e70d9285554d20,2026-03-22 18:57:38.234199+00:00
501ffeb4-20c2-4e86-a12b-df244f21c0cd,a3e3e82881c3f0a6d69925e52f83bdf0,2026-03-29 20:07:29.685163+00:00
88826b7b-7a7b-47dc-9c69-fe730527b79f,f8d0c7284ffe46668677024d8dde2c52,2026-03-13 06:19:33.837008+00:00
0f15445e-ea15-40ea-a2e8-def6227ff1c2,8cf9bdf246e257ad66ae2cb79eef853d,2026-05-19 17:25:13.256745+00:00
0fa772eb-f50b-46be-b2b3-620305ec91bd,0bd706ec287d076563597e0f186e20ff,2026-05-13 10:22:29.006682+00:00
bfe776c3-e008-45f4-bf27-f1a1d9de8072,46456f49d97137090692289823d3fe58,2026-04-13 22:38:47.585375+00:00
ba9ef240-3b40-4468-822f-94f2ec0a3a70,819d53c04cffd00fe9285b68eabd4185,2026-03-08 08:38:22.671483+00:00
a1a61d54-3b10-4256-ad9c-7a1457b1cacd,5af807409f57bd018cf8aee004175fbc,2026-04-23 00:49:04.618458+00:00
9102e1b7-3e16-4d57-9877-8bc604295c5e,3e1267ff930ca931ce73e50f04da3675,2026-03-04 08:12:00.767985+00:00
7ce7f2c8-543d-499d-babb-5d618f9769d2,7a9fb1e7b58b4b5be72af83489ff9a08,2026-04-12 00:08:48.777767+00:00
4f04b8fe-aa86-43bc-8c0c-b6f17a040bbd,fa388bcaa496748bc35225be1bdb464b,2026-03-10 13:39:13.041537+00:00
440a8f70-1aec-4d7e-af85-b13ff9419f6f,054285fcdf600fc1f7a3dc66314df17a,2026-05-09 08:28:41.463858+00:00
1c41072d-3509-40ce-8672-e0c8d190df9d,42deb8dff8269a1e86761c6c3f866b64,2026-03-24 18:12:40.417111+00:00
4bc61e1d-5f5f-4098-a659-289c5318f105,09076ad138a945645619df504eb3acd2,2026-03-24 22:50:43.462450+00:00
7c969108-3fc2-486c-ab2a-8727683f1098,e4e4525d6612366ac447b42fd2288c5e,2026-05-01 21:55:50.580670+00:00
8ea47e3b-6d75-40de-825f-50159b54a603,704c990486a454310081dc1e40a677cc,2026-04-23 15:27:04.304473+00:00
95faef9e-79c1-4df7-bf40-0a379db8679d,62a64ecb3383a9690bb2d1b45b03bd1b,2026-03-28 04:02:35.719413+00:00
fae2688f-4f82-49f5-89c8-7d4e22e2a9f1,201ffd3c95021a9dbe43be1dabbe9b02,2026-04-27 16:21:49.873894+00:00
23f4fff2-2159-4da4-a640-4a10f8f2b01b,afce1fa68fe284b81d895099bb979dda,2026-04-22 03:51:46.223871+00:00
31197f71-2fa9-4890-9ff8-60ee78f0321b,c5297c3bd852423c27441bf19cd124c3,2026-04-04 21:11:02.035735+00:00
3f4c1010-0df2-42b3-8e97-e6e6ebe3aa2c,d76eb5f4bfc6652f9160d25677d2a5fa,2026-04-06 17:50:56.294973+00:00
7a2da2e6-0aa9-4a8b-8425-f7b037e9ab69,fb2f96085aea42fbf7e235f767183f2d,2026-03-06 00:05:44.361392+00:00
d7816b73-e27c-4b5e-b691-003691f077a2,4a1c9401c1aff0e51d5f9d18490c469d,2026-03-11 14:51:29.515536+00:00
513d052d-1aa8-4da4-9b5f-b6bd55e506e4,5b87f96120f87ec306e51f3e6e1ac6f5,2026-04-12 10:21:59.339461+00:00
fcd86879-9215-4cab-8f9d-e8760eb0787a,c2e83c7c236ed60e6d31844c551fc0ae,2026-03-22 12:22:48.756838+00:00
51f40a37-fe3e-44af-98d5-e4c1edee5340,6c36a53f9cf2bfb479667ca323f200d2,2026-04-02 22:48:54.033574+00:00
6ebf50a2-3764-4bc0-8410-f589c764be4d,8aed3737d1add641bf9162825049c186,2026-03-19 07:15:56.494288+00:00
8370931d-7781-4501-b211-ace908df4523,de41eb1b4117aca25e7f3b9da1d97902,2026-03-21 02:41:25.939161+00:00
da31895c-bf8c-4e67-8b00-f73300d31217,ef09dfe9156ad26651872d5aaee8918e,2026-05-06 04:42:48.342194+00:00
8221e4c5-18a5-4fa8-aa7b-3d811979d82a,fadc6550c88aae23f2e380a6c54e25dd,2026-03-12 16:30:41.765761+00:00
2bd78a4a-dc84-4e23-b207-36333e0a66f1,1e6236b20e84b74faa87ae61561e33d0,2026-03-28 13:18:03.300598+00:00
080e53d5-e8c2-4810-9e47-145646db7ba3,60a1382c2d268c59a54d60d9dc58590b,2026-04-21 21:29:23.046666+00:00
293d3735-c265-411a-acdc-9801a301ea41,8c77763195d537a1ca60e336c582ae28,2026-04-10 14:15:42.839112+00:00
