id,transaction_id,order_amount,created_at
d0aeb1cb-ea31-4130-b645-837628894221,2231d1e7-8172-465e-9f3a-8b1345cf3478,298.56,2026-05-30 05:12:35.694317+00:00
2cb5f558-f8b5-4c6f-8ebe-94fb6705ef36,aa647fcb-72ac-4f4d-ae9b-539a77ade307,2653.95,2026-05-05 17:01:52.607454+00:00
b0edec0e-bb3e-4ddb-95c6-08480540ebea,4c559568-5da3-4108-8975-e33bba4159d2,3416.0,2026-05-16 07:22:05.558193+00:00
bcdc00ff-c173-40aa-9371-c06827f80868,2cef5320-bda8-498e-8db2-4881938dadc8,4064.48,2026-05-19 02:45:32.235472+00:00
69600d17-8075-44c5-9a8a-ecb815925fb2,d2a363d0-bd1f-4455-9b75-d0050a292c1b,4255.9,2026-05-22 04:25:15.857746+00:00
dfbce523-ca71-4795-8fe9-3d18cd585ca6,09e6cda9-42a6-4d6e-8cd0-044feb4f97a0,1444.14,2026-04-26 05:36:08.898907+00:00
ad2e767e-5e86-4f30-8fc8-7154d8041da9,9d249e15-1264-41c9-bb39-a70a70dcf02d,779.65,2026-04-30 20:17:57.881906+00:00
51ef744b-7879-4605-9197-c826f82264f5,a2177172-a275-4c58-a5a6-c99cd63c4697,1963.83,2026-05-07 14:17:59.581468+00:00
efa3957c-fbc8-4eab-bcf9-9e7d2064f070,f03c787b-58fe-4010-94cb-2d15d4ec9d46,1494.57,2026-05-13 04:22:24.176307+00:00
6897794a-5d37-429f-b5c8-da8323f5d0e7,1fe9941b-7aa8-4633-ba36-f1f34b4a84a2,4890.96,2026-05-02 05:05:23.722221+00:00
e9057e4c-5b85-426f-a6d9-28f830530cfe,6d7c422e-e9bc-432a-98f7-7c8829437f0b,2377.73,2026-05-23 22:44:34.286644+00:00
f90833ef-1b54-4103-9584-9d2cd2bcca3a,2495d27f-0a93-4080-bee3-066f7b77d624,1842.32,2026-05-29 20:03:32.724882+00:00
1552a677-ca8f-41a2-a541-e6c8d2a6d3d8,388a5449-12e7-42bd-9298-eacdbbc99c6e,6612.43,2026-03-22 08:04:43.791185+00:00
e6ad8776-fa57-4e3b-9207-91551184e087,47e5b549-076f-45d4-9ea1-21406734fccb,5874.92,2026-03-25 02:53:36.801002+00:00
554a9e69-26db-4f1e-8586-ca5ff2482ded,52da239b-efc6-4bc0-8c3b-659aa0fd334a,2732.0,2026-04-16 03:00:06.356394+00:00
cb5e6bbc-ea52-40e0-a731-ebca25c3e3d9,111606d4-51dd-4751-b620-03fca7a12881,838.43,2026-05-20 18:07:31.514070+00:00
3addd73f-f238-4fa4-954d-3c924a3ce7f2,812e210b-fb24-4de3-964f-9b3cc8c8623a,669.49,2026-05-27 03:48:37.512467+00:00
0541155e-2b36-4b81-85e5-cb5d0a67a8bc,2a1ca483-be60-4b9a-a0b4-893b8eb19656,511.14,2026-04-13 12:45:44.226496+00:00
d1caf1ca-635a-48f2-a060-bcaba7c895ea,ce91d32e-3ae0-4caf-a733-463cbd18004c,4009.12,2026-04-20 17:13:46.794822+00:00
35bfd92b-d370-4c21-b09a-a0903ab20202,91c099ef-0398-4285-8a09-bd9da0a7ef2a,738.33,2026-05-22 23:01:18.474239+00:00
3ad68ceb-3e4d-4bcc-9b64-8884cdc0fd7d,950ce5ad-2f32-4b85-91be-4dbab87b90c3,121.62,2026-05-23 10:53:20.740899+00:00
d17ffa1d-c836-42b8-8919-74166c3efa7c,aef47e99-0fd2-44d8-86dc-a61e966734c9,390.86,2026-05-29 19:09:24.973309+00:00
7761bd50-a67f-4b71-bb70-1803101d4b4d,fec7696e-2aa6-4c4b-a02f-e3f736686375,3482.79,2026-05-14 03:19:18.622745+00:00
d0a93dff-8cca-4e0b-b740-13e19d1b3baf,10021feb-89ad-4e8b-a885-4f1cdec11364,1604.72,2026-05-14 04:32:00.840563+00:00
c1ab2206-9b50-4aaa-9446-f322d0976ea6,2068100b-794f-4e1b-8f91-6eaade53c5ff,2119.86,2026-05-24 16:20:09.426779+00:00
59e8a63d-55f7-4a74-a414-9d242a76b6da,9c1f2717-d8a4-4add-ad82-6c071a63f43e,3214.37,2026-05-29 00:41:25.040948+00:00
2ad5d0e8-9af5-4109-b0b3-660180d96301,6907bb03-3c96-4fe9-86e6-f5496d3f01a8,562.23,2026-05-31 00:31:32.647563+00:00
464f2fc5-9f08-4c2e-993b-5a60ad0fe3fa,e1245c69-461b-422c-a01d-045f20077b17,301.77,2026-05-15 03:45:13.467900+00:00
0eab8992-d572-4072-a141-2725dbe68f3f,f23a6475-c5b7-4541-b8a8-eba20cb668df,1012.46,2026-05-25 03:18:48.628606+00:00
9909eb41-e124-44a6-8a4a-537194cbcaf0,de2f1a6b-aeef-4893-a3b0-9c892c8424b3,728.33,2026-05-26 19:55:26.426104+00:00
311f6379-cf30-4c21-b00a-851e2e2031f9,ff180026-7b32-4db0-becc-6e67e448e9e9,10.0,2026-05-31 15:46:42.573053+00:00
21bcf43e-2dd7-4f50-914b-f084c4b05ed6,3a93bfbb-fabf-4085-b8bf-cd44a74ec4cc,4316.92,2026-04-22 00:34:39.074874+00:00
f8dd8cd7-2024-47d2-b1b2-390e4a89e013,2311807e-4890-420e-a077-7212775c57de,2783.82,2026-04-26 10:38:55.947512+00:00
b7d10811-9d19-41be-b523-1de73c41c203,1ebdd07c-2c5d-492c-a944-14bbdd505b50,3342.88,2026-05-01 13:04:47.715895+00:00
c92c5327-27b7-4a3d-8ead-d09985d71fab,36a3c1d3-6b34-4b6a-9288-4c5f008e8cb5,2614.36,2026-05-08 14:34:52.721236+00:00
a7c5d0a1-1435-4c3b-b1ae-4b317866c44a,9e537c3e-67f1-47e8-982a-d3f0681f6e0b,6174.85,2026-05-28 13:47:41.617001+00:00
23958815-a2d5-4444-82fd-603e413730d7,0d967d7d-e875-46b9-b940-487e4a6d8f03,3451.88,2026-05-29 22:50:26.415394+00:00
819960cb-bc9c-4dc3-86fc-239d8c32e00e,2b5d618e-d4a1-4ea6-957f-2468c77092ab,2633.01,2026-05-31 03:28:49.331022+00:00
