customer_id,label,cluster_id,is_abuse
0613c87f-6ebc-4983-95e6-7ecb4d307fc6,normal,,False
4701127c-dcf8-4cad-9625-207e89c6a89d,normal,,False
104c1798-ecb8-4895-8aaf-d2ff7ddd423d,normal,,False
6caf708b-766d-453c-9e34-3d495d053204,normal,,False
89cf622b-d36d-4a5c-a3a0-6d4a6e26d59a,normal,,False
c8a8f3a1-40c5-423c-9c6b-b8d540a772b2,normal,,False
b233fc1b-6ad0-40a3-97ef-8f45017f29a3,normal,,False
03cef383-f4ef-4d66-bad8-0ce65702edd2,normal,,False
77bc989c-f5d9-498b-9b51-fc39a2cfbba0,normal,,False
5d4f79b9-7f1a-4701-b396-d2c0e5c833ea,normal,,False
61bca8bf-a41c-4ca2-9645-212f70c05396,normal,,False
e59defcf-0182-4aef-9155-802bc58f52cb,normal,,False
570ed0d5-ec99-4f5e-b781-25abfab4e1a4,normal,,False
a693d7f8-7b86-4c4d-b115-ecf095e58f85,normal,,False
a780e12f-729f-4b2c-b0a2-415568c3fe0e,normal,,False
7b985c6b-5eae-42d2-9a03-6924620c5330,normal,,False
7e6a7728-366f-4e85-8387-61fdf49b7b02,normal,,False
b296826a-1a5b-4457-986b-a1eee589e04c,normal,,False
d0578d07-3a13-4766-b68c-ba416f677a3f,normal,,False
743998e6-7a65-409e-81bb-cdc3fb54403f,normal,,False
aa6f5451-ab97-4433-9044-28a89f5cf718,normal,,False
ef13cf73-5395-447c-a2f0-615b89dc6b5a,normal,,False
f2b89856-4d72-4f44-a8d5-baf44ea8ff64,normal,,False
b4f4e36f-eb84-4916-9187-d4afbfd88ff3,normal,,False
490847ac-353d-4984-a73c-ce7bbae6b389,normal,,False
93f4b60e-8727-41a0-8bcc-a658f9e5b2e2,normal,,False
ff2a7fc6-183b-4769-baf3-6ce2b534d37c,normal,,False
894a90d7-d09d-42ab-91ce-8fac22c5dfd5,normal,,False
315a230b-6feb-47c2-b5c8-ee425900994a,normal,,False
542ae064-bf06-4846-8e43-4924d2166137,normal,,False
4538802c-7054-48d3-90f9-a604e69f2627,normal,,False
bf219d03-0687-4305-b9d3-f7d5ecf6b738,normal,,False
ad6debf6-0350-4a35-9354-7842a51ed9fc,normal,,False
37dbf339-1fa6-424d-ad4a-3b0aec2dc933,normal,,False
