id,customer_id,device_id,network_id,amount,currency,status,created_at
91ffa8a2-e6e7-4842-a4ef-1fb31ef14a2c,0613c87f-6ebc-4983-95e6-7ecb4d307fc6,17f4dcc5-9e21-45c9-b52c-041156df5dee,638c7a53-069b-47df-bf6f-6e408a7da852,1798.64,INR,success,2026-05-27 22:24:40.681572+00:00
12505b31-6a26-4930-a5cf-c621622a8374,0613c87f-6ebc-4983-95e6-7ecb4d307fc6,17f4dcc5-9e21-45c9-b52c-041156df5dee,638c7a53-069b-47df-bf6f-6e408a7da852,3657.25,INR,success,2026-05-30 22:11:11.877389+00:00
6da08781-ecc0-4b7b-8649-33e2858c573f,0613c87f-6ebc-4983-95e6-7ecb4d307fc6,17f4dcc5-9e21-45c9-b52c-041156df5dee,638c7a53-069b-47df-bf6f-6e408a7da852,2395.44,INR,success,2026-05-31 21:49:52.885008+00:00
4af09344-d53e-4555-9302-4be7a0de40ff,4701127c-dcf8-4cad-9625-207e89c6a89d,5ca5f8ed-cae7-4766-8385-203a7674bbf1,1cb73baa-10e0-4026-a548-32fdfd2929f8,2507.84,INR,success,2026-03-30 17:32:28.594460+00:00
9e875ab3-6c12-4855-9902-569755a1249a,4701127c-dcf8-4cad-9625-207e89c6a89d,5ca5f8ed-cae7-4766-8385-203a7674bbf1,1cb73baa-10e0-4026-a548-32fdfd2929f8,3449.56,INR,success,2026-04-09 16:20:16.494393+00:00
b9e6c2ec-24e2-4859-92ea-8c554d63741f,4701127c-dcf8-4cad-9625-207e89c6a89d,5ca5f8ed-cae7-4766-8385-203a7674bbf1,1cb73baa-10e0-4026-a548-32fdfd2929f8,10.0,INR,success,2026-04-17 00:08:11.762706+00:00
b7e6be48-9fa4-4b5a-ba4b-37728719b7bd,4701127c-dcf8-4cad-9625-207e89c6a89d,5ca5f8ed-cae7-4766-8385-203a7674bbf1,1cb73baa-10e0-4026-a548-32fdfd2929f8,666.51,INR,success,2026-05-06 17:29:21.739494+00:00
118073b1-5978-4b13-98ea-f66755594b4c,104c1798-ecb8-4895-8aaf-d2ff7ddd423d,860cb6fd-42d1-41e0-af3f-6db463739f0e,f6211c2a-d0e6-428a-ae6d-ceb723eec278,1517.27,INR,success,2026-05-13 16:01:49.085746+00:00
498cd2bf-9153-4192-bd36-7770668ea628,104c1798-ecb8-4895-8aaf-d2ff7ddd423d,860cb6fd-42d1-41e0-af3f-6db463739f0e,f6211c2a-d0e6-428a-ae6d-ceb723eec278,1168.13,INR,success,2026-05-19 06:42:13.806644+00:00
5cb69f1f-6250-4abc-b764-9436e481879a,6caf708b-766d-453c-9e34-3d495d053204,612b13c4-a660-49f6-8394-8a68b57bf2b7,3dd8a28b-246f-4ec2-9087-2166f479274a,1828.82,INR,success,2026-05-23 01:18:54.013159+00:00
c098eeaa-42dc-47a6-9f9d-ef1bf92afd02,89cf622b-d36d-4a5c-a3a0-6d4a6e26d59a,86a69490-8cee-4d29-90a2-849bfcaa0080,7ab7cd0c-fae1-436c-b9cb-1f7df0a90c8c,1219.04,INR,success,2026-04-05 02:59:38.508129+00:00
b1aae450-9435-4e04-9d1d-5b390fd99edf,89cf622b-d36d-4a5c-a3a0-6d4a6e26d59a,86a69490-8cee-4d29-90a2-849bfcaa0080,7ab7cd0c-fae1-436c-b9cb-1f7df0a90c8c,1672.86,INR,success,2026-04-11 04:44:13.760264+00:00
b283ea30-65a3-4b0a-912e-cc358f999855,89cf622b-d36d-4a5c-a3a0-6d4a6e26d59a,86a69490-8cee-4d29-90a2-849bfcaa0080,7ab7cd0c-fae1-436c-b9cb-1f7df0a90c8c,1377.2,INR,success,2026-05-07 16:16:59.573314+00:00
f11f6de0-788e-4467-981b-501305603c08,89cf622b-d36d-4a5c-a3a0-6d4a6e26d59a,86a69490-8cee-4d29-90a2-849bfcaa0080,7ab7cd0c-fae1-436c-b9cb-1f7df0a90c8c,909.75,INR,success,2026-05-24 09:24:37.358957+00:00
c77f78c8-097b-4096-8e93-d6a69862c700,89cf622b-d36d-4a5c-a3a0-6d4a6e26d59a,86a69490-8cee-4d29-90a2-849bfcaa0080,7ab7cd0c-fae1-436c-b9cb-1f7df0a90c8c,1421.49,INR,success,2026-05-29 04:32:34.157566+00:00
6f59af99-ea67-4645-bfd0-93f2192b7f23,c8a8f3a1-40c5-423c-9c6b-b8d540a772b2,a2436505-01c9-4926-b9b3-51538929f538,6eb639c2-d080-4db7-b488-021f6bd0145a,1329.14,INR,success,2026-05-15 18:52:15.357777+00:00
e98c2dd7-9167-46ee-8254-c06284359792,c8a8f3a1-40c5-423c-9c6b-b8d540a772b2,a2436505-01c9-4926-b9b3-51538929f538,6eb639c2-d080-4db7-b488-021f6bd0145a,1143.31,INR,success,2026-05-16 23:13:31.762766+00:00
ef1c7aaf-b7e8-4692-8095-47b03328ee4e,c8a8f3a1-40c5-423c-9c6b-b8d540a772b2,a2436505-01c9-4926-b9b3-51538929f538,6eb639c2-d080-4db7-b488-021f6bd0145a,1155.1,INR,success,2026-05-17 07:27:08.039626+00:00
